종목코드,종목명,현재가(원),거래량,1개월,3개월,1년,상대강도
495850,KODEX 코리아밸류업,32180,61941,-0.004300875645904867,-0.23065888878263363,1.3271622794330344,93
487130,KoAct AI인프라액티브,29315,5700,0.10165351371664788,-0.23658854166666665,1.2628328830567348,92
159800,마이티 코스피100,87000,841,-0.0024651722754113203,-0.26665823745100514,1.329629133752845,92
237350,KODEX 코스피100,87285,146673,-0.00580898684435327,-0.2696549300488654,1.3605214051978258,92
495040,PLUS 코리아밸류업,31865,1095,-0.00015688735487917604,-0.23312957258375044,1.3159386583327275,92
495330,1Q 코리아밸류업,31805,6607,-0.008077594810379285,-0.24143770272848697,1.3077202147728921,92
153270,KIWOOM 코스피100,83950,2597,-0.008679223002893033,-0.27044407751803246,1.3486459265890778,92
102110,TIGER 200,109560,14729874,-0.006033114084826541,-0.2594745486620389,1.297529673279369,91
148020,RISE 200,110225,800277,-0.004875186205028692,-0.2612810047516604,1.2961149880220812,91
102780,KODEX 삼성그룹,25665,257392,-0.030045351473922954,-0.24967110071626952,1.263227513227513,91
434960,DAISHIN K200,110180,2729,-0.00559566787003607,-0.26246736729366094,1.30338253125392,91
069660,KIWOOM 200,109325,199921,-0.005232029117379411,-0.25978712743916477,1.2945262981152665,91
293180,HANARO 200,109590,8693,-0.006256800870511392,-0.26086545984298704,1.2898992853859332,91
396500,TIGER 반도체TOP10,37000,6885674,0.01453249245955579,-0.3353691395724807,1.5268046165403266,90
100910,KIWOOM KRX100,17125,417,-0.011544011544011523,-0.26987849072692394,1.2995837249899287,90
152100,PLUS 200,110900,198448,-0.006672936539925622,-0.26118875994297364,1.2883436848729959,90
152870,파워 200,110355,4499,-0.006303183107469246,-0.26149861809129293,1.2909011646011086,90
0098Z0,FOCUS 200,93600,11,-0.007528363906266544,-0.25797910291576165,1.288732394366197,90
105190,ACE 200,109580,519987,-0.005490765530698383,-0.26184397545317983,1.2883515014826878,90
069500,KODEX 200,109285,19635190,-0.006319330787415867,-0.2618671313557033,1.2908019955561145,90
494890,KODEX 200액티브,31485,153905,-0.0063121350796907505,-0.2651589413247444,1.285164755407171,89
472840,IBK 200,108755,273,-0.005668571428571467,-0.2625129690032346,1.278116424726115,89
491700,HK 200,110450,35,-0.004551394709566892,-0.2537162162162162,1.295971396499397,89
0007N0,아이엠에셋 200,109935,956,-0.0077173030056864045,-0.2650224634968177,1.2838890620130883,89
0093A0,RISE AI반도체TOP10,33355,59200,0.07492748952626482,-0.26360525444309524,1.3782531194295902,89
448100,WON 200,112365,17003,-0.007411398890498577,-0.2634604543845619,1.285513790578472,89
